"National Healthcare Safety Network (NHSN) Hospitalization Surveillance (downloaded on "Nov-14-2024)
Influenza Division - Centers for Disease Control and Prevention.
Week,Season,Measure,Region,RegionDescription,Measure_Value
202342,2023-24,Average patients with influenza in ICU,5,HHS Region,11.14
202342,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,189.71
202342,2023-24,Influenza Hospital Admissions,6,HHS Region,315
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.74
202342,2023-24,Average patients with influenza in ICU,6,HHS Region,32.43
202342,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,22.43
202342,2023-24,Influenza Hospital Admissions,7,HHS Region,35
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.25
202342,2023-24,Average patients with influenza in ICU,7,HHS Region,3.29
202342,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,14.86
202342,2023-24,Influenza Hospital Admissions,8,HHS Region,33
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.27
202342,2023-24,Average patients with influenza in ICU,8,HHS Region,2.14
202342,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,92.43
202342,2023-24,Influenza Hospital Admissions,9,HHS Region,123
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.24
202342,2023-24,Average patients with influenza in ICU,9,HHS Region,7.71
202342,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,26.71
202342,2023-24,Influenza Hospital Admissions,10,HHS Region,28
202342,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.19
202342,2023-24,Average patients with influenza in ICU,10,HHS Region,3.14
202343,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,22.43
202343,2023-24,Influenza Hospital Admissions,1,HHS Region,42
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.28
202343,2023-24,Average patients with influenza in ICU,1,HHS Region,2.43
202343,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,175.86
202343,2023-24,Influenza Hospital Admissions,2,HHS Region,239
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.76
202343,2023-24,Average patients with influenza in ICU,2,HHS Region,14.71
202343,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,104.43
202343,2023-24,Influenza Hospital Admissions,3,HHS Region,125
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.41
202343,2023-24,Average patients with influenza in ICU,3,HHS Region,13.29
202343,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,432.43
202343,2023-24,Influenza Hospital Admissions,4,HHS Region,503
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.75
202343,2023-24,Average patients with influenza in ICU,4,HHS Region,107.14
202343,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,86.57
202343,2023-24,Influenza Hospital Admissions,5,HHS Region,94
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.18
202343,2023-24,Average patients with influenza in ICU,5,HHS Region,7.71
202343,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,219.71
202343,2023-24,Influenza Hospital Admissions,6,HHS Region,316
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.74
202343,2023-24,Average patients with influenza in ICU,6,HHS Region,27.14
202343,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,21.86
202343,2023-24,Influenza Hospital Admissions,7,HHS Region,33
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.23
202343,2023-24,Average patients with influenza in ICU,7,HHS Region,2.14
202343,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,16.86
202343,2023-24,Influenza Hospital Admissions,8,HHS Region,28
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.23
202343,2023-24,Average patients with influenza in ICU,8,HHS Region,2.14
202343,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,105.71
202343,2023-24,Influenza Hospital Admissions,9,HHS Region,153
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.3
202343,2023-24,Average patients with influenza in ICU,9,HHS Region,13
202343,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,29.29
202343,2023-24,Influenza Hospital Admissions,10,HHS Region,37
202343,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.26
202343,2023-24,Average patients with influenza in ICU,10,HHS Region,1.57
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,4.16
202404,2023-24,Average patients with influenza in ICU,2,HHS Region,158.43
202404,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,932.43
202404,2023-24,Influenza Hospital Admissions,3,HHS Region,1019
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,3.3
202404,2023-24,Average patients with influenza in ICU,3,HHS Region,156.43
202404,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,2461.14
202404,2023-24,Influenza Hospital Admissions,4,HHS Region,2618
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,3.91
202404,2023-24,Average patients with influenza in ICU,4,HHS Region,500.86
202404,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1274.29
202404,2023-24,Influenza Hospital Admissions,5,HHS Region,1816
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,3.46
202404,2023-24,Average patients with influenza in ICU,5,HHS Region,188.14
202404,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1422.57
202404,2023-24,Influenza Hospital Admissions,6,HHS Region,2263
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,5.3
202404,2023-24,Average patients with influenza in ICU,6,HHS Region,237.57
202404,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,341.57
202404,2023-24,Influenza Hospital Admissions,7,HHS Region,460
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,3.25
202404,2023-24,Average patients with influenza in ICU,7,HHS Region,55.29
202404,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,269.86
202404,2023-24,Influenza Hospital Admissions,8,HHS Region,482
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,3.93
202404,2023-24,Average patients with influenza in ICU,8,HHS Region,35.43
202404,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,1151.86
202404,2023-24,Influenza Hospital Admissions,9,HHS Region,1405
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,2.74
202404,2023-24,Average patients with influenza in ICU,9,HHS Region,184.57
202404,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,216
202404,2023-24,Influenza Hospital Admissions,10,HHS Region,290
202404,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,2.02
202404,2023-24,Average patients with influenza in ICU,10,HHS Region,27.43
202405,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,484.43
202405,2023-24,Influenza Hospital Admissions,1,HHS Region,657
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,4.43
202405,2023-24,Average patients with influenza in ICU,1,HHS Region,69.57
202405,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,915.86
202405,2023-24,Influenza Hospital Admissions,2,HHS Region,1128
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,3.57
202405,2023-24,Average patients with influenza in ICU,2,HHS Region,144
202405,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,800.71
202405,2023-24,Influenza Hospital Admissions,3,HHS Region,911
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,2.95
202405,2023-24,Average patients with influenza in ICU,3,HHS Region,131.71
202405,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,2158.14
202405,2023-24,Influenza Hospital Admissions,4,HHS Region,2133
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,3.19
202405,2023-24,Average patients with influenza in ICU,4,HHS Region,445.57
202405,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1290.14
202405,2023-24,Influenza Hospital Admissions,5,HHS Region,1969
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,3.75
202405,2023-24,Average patients with influenza in ICU,5,HHS Region,219.86
202405,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1390.71
202405,2023-24,Influenza Hospital Admissions,6,HHS Region,2185
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,5.12
202405,2023-24,Average patients with influenza in ICU,6,HHS Region,224.86
202405,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,357.71
202405,2023-24,Influenza Hospital Admissions,7,HHS Region,562
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,3.97
202405,2023-24,Average patients with influenza in ICU,7,HHS Region,55.71
202405,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,215.29
202405,2023-24,Influenza Hospital Admissions,8,HHS Region,406
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,3.31
202405,2023-24,Average patients with influenza in ICU,8,HHS Region,32
202405,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,843.43
202405,2023-24,Influenza Hospital Admissions,9,HHS Region,903
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.76
202405,2023-24,Average patients with influenza in ICU,9,HHS Region,145.14
202405,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,189.14
202405,2023-24,Influenza Hospital Admissions,10,HHS Region,264
202405,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.84
202405,2023-24,Average patients with influenza in ICU,10,HHS Region,30.14
202406,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,457.86
202406,2023-24,Influenza Hospital Admissions,1,HHS Region,682
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,4.59
202406,2023-24,Average patients with influenza in ICU,1,HHS Region,62.57
202406,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,864.71
202406,2023-24,Influenza Hospital Admissions,2,HHS Region,1088
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,3.45
202406,2023-24,Average patients with influenza in ICU,2,HHS Region,118.71
202406,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,691.43
202406,2023-24,Influenza Hospital Admissions,3,HHS Region,873
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,2.83
202406,2023-24,Average patients with influenza in ICU,3,HHS Region,118.71
202406,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1871.86
202406,2023-24,Influenza Hospital Admissions,4,HHS Region,2098
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,3.14
202406,2023-24,Average patients with influenza in ICU,4,HHS Region,407.71
202406,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1435.71
202406,2023-24,Influenza Hospital Admissions,5,HHS Region,2146
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,4.08
202406,2023-24,Average patients with influenza in ICU,5,HHS Region,218.57
202406,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1226.57
202406,2023-24,Influenza Hospital Admissions,6,HHS Region,2087
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,4.89
202406,2023-24,Average patients with influenza in ICU,6,HHS Region,210
202406,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,382.14
202406,2023-24,Influenza Hospital Admissions,7,HHS Region,643
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,4.55
202406,2023-24,Average patients with influenza in ICU,7,HHS Region,59.86
202406,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,183.14
202406,2023-24,Influenza Hospital Admissions,8,HHS Region,372
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,3.03
202406,2023-24,Average patients with influenza in ICU,8,HHS Region,28.29
202406,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,588.86
202406,2023-24,Influenza Hospital Admissions,9,HHS Region,627
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.22
202406,2023-24,Average patients with influenza in ICU,9,HHS Region,92.86
202406,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,170.71
202406,2023-24,Influenza Hospital Admissions,10,HHS Region,233
202406,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.62
202406,2023-24,Average patients with influenza in ICU,10,HHS Region,23.43
202407,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,512.71
202407,2023-24,Influenza Hospital Admissions,1,HHS Region,791
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,5.33
202407,2023-24,Average patients with influenza in ICU,1,HHS Region,66
202407,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,878.43
202407,2023-24,Influenza Hospital Admissions,2,HHS Region,1192
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,3.78
202425,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,6.86
202425,2023-24,Influenza Hospital Admissions,6,HHS Region,11
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.03
202425,2023-24,Average patients with influenza in ICU,6,HHS Region,1.43
202425,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,4
202425,2023-24,Influenza Hospital Admissions,7,HHS Region,4
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.03
202425,2023-24,Average patients with influenza in ICU,7,HHS Region,0.86
202425,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,7
202425,2023-24,Influenza Hospital Admissions,8,HHS Region,9
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.07
202425,2023-24,Average patients with influenza in ICU,8,HHS Region,0
202425,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,73.57
202425,2023-24,Influenza Hospital Admissions,9,HHS Region,107
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.21
202425,2023-24,Average patients with influenza in ICU,9,HHS Region,7.57
202425,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,28.86
202425,2023-24,Influenza Hospital Admissions,10,HHS Region,43
202425,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.3
202425,2023-24,Average patients with influenza in ICU,10,HHS Region,4.14
202426,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,16.43
202426,2023-24,Influenza Hospital Admissions,1,HHS Region,2
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.01
202426,2023-24,Average patients with influenza in ICU,1,HHS Region,1
202426,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,27.86
202426,2023-24,Influenza Hospital Admissions,2,HHS Region,33
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.1
202426,2023-24,Average patients with influenza in ICU,2,HHS Region,6.43
202426,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,56.29
202426,2023-24,Influenza Hospital Admissions,3,HHS Region,72
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.23
202426,2023-24,Average patients with influenza in ICU,3,HHS Region,7
202426,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,100.43
202426,2023-24,Influenza Hospital Admissions,4,HHS Region,97
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.14
202426,2023-24,Average patients with influenza in ICU,4,HHS Region,8.43
202426,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,23.57
202426,2023-24,Influenza Hospital Admissions,5,HHS Region,24
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.05
202426,2023-24,Average patients with influenza in ICU,5,HHS Region,5.14
202426,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,4.43
202426,2023-24,Influenza Hospital Admissions,6,HHS Region,6
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.01
202426,2023-24,Average patients with influenza in ICU,6,HHS Region,1.71
202426,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,7.86
202426,2023-24,Influenza Hospital Admissions,7,HHS Region,7
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0.05
202426,2023-24,Average patients with influenza in ICU,7,HHS Region,1.43
202426,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,5.14
202426,2023-24,Influenza Hospital Admissions,8,HHS Region,3
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.02
202426,2023-24,Average patients with influenza in ICU,8,HHS Region,0.14
202426,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,64.86
202426,2023-24,Influenza Hospital Admissions,9,HHS Region,69
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.13
202426,2023-24,Average patients with influenza in ICU,9,HHS Region,6.29
202426,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,25.14
202426,2023-24,Influenza Hospital Admissions,10,HHS Region,37
202426,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.26
202426,2023-24,Average patients with influenza in ICU,10,HHS Region,3.43
202427,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,17.29
202427,2023-24,Influenza Hospital Admissions,1,HHS Region,8
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.05
202427,2023-24,Average patients with influenza in ICU,1,HHS Region,1.71
202427,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,27
202427,2023-24,Influenza Hospital Admissions,2,HHS Region,32
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.1
202427,2023-24,Average patients with influenza in ICU,2,HHS Region,6.57
202427,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,49.43
202427,2023-24,Influenza Hospital Admissions,3,HHS Region,65
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.21
202427,2023-24,Average patients with influenza in ICU,3,HHS Region,5.71
202427,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,78.57
202427,2023-24,Influenza Hospital Admissions,4,HHS Region,89
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.13
202427,2023-24,Average patients with influenza in ICU,4,HHS Region,5.71
202427,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,16.71
202427,2023-24,Influenza Hospital Admissions,5,HHS Region,26
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.05
202427,2023-24,Average patients with influenza in ICU,5,HHS Region,2.57
202427,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,4.43
202427,2023-24,Influenza Hospital Admissions,6,HHS Region,13
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,0.03
202427,2023-24,Average patients with influenza in ICU,6,HHS Region,1
202427,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,3
202427,2023-24,Influenza Hospital Admissions,7,HHS Region,0
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,0
202427,2023-24,Average patients with influenza in ICU,7,HHS Region,0.14
202427,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,5.71
202427,2023-24,Influenza Hospital Admissions,8,HHS Region,5
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,0.04
202427,2023-24,Average patients with influenza in ICU,8,HHS Region,0
202427,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,55
202427,2023-24,Influenza Hospital Admissions,9,HHS Region,68
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,0.13
202427,2023-24,Average patients with influenza in ICU,9,HHS Region,4.43
202427,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,20.71
202427,2023-24,Influenza Hospital Admissions,10,HHS Region,22
202427,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,0.15
202427,2023-24,Average patients with influenza in ICU,10,HHS Region,3.86
202428,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,16.43
202428,2023-24,Influenza Hospital Admissions,1,HHS Region,7
202428,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,0.05
202428,2023-24,Average patients with influenza in ICU,1,HHS Region,1.86
202428,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,26.57
202428,2023-24,Influenza Hospital Admissions,2,HHS Region,29
202428,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,0.09
202428,2023-24,Average patients with influenza in ICU,2,HHS Region,3.29
202428,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,54.29
202428,2023-24,Influenza Hospital Admissions,3,HHS Region,84
202428,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,0.27
202428,2023-24,Average patients with influenza in ICU,3,HHS Region,8.71
202428,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,85
202428,2023-24,Influenza Hospital Admissions,4,HHS Region,111
202428,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,0.17
202428,2023-24,Average patients with influenza in ICU,4,HHS Region,7
202428,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,15.14
202428,2023-24,Influenza Hospital Admissions,5,HHS Region,22
202428,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,0.04
202428,2023-24,Average patients with influenza in ICU,5,HHS Region,2.86
202428,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,4.86
202407,2023-24,Average patients with influenza in ICU,2,HHS Region,121.71
202428,2023-24,Influenza Hospital Admissions,6,HHS Region,6
202407,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,753
202407,2023-24,Influenza Hospital Admissions,3,HHS Region,1038
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,3.36
202407,2023-24,Average patients with influenza in ICU,3,HHS Region,111.71
202407,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1795.43
202407,2023-24,Influenza Hospital Admissions,4,HHS Region,1924
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2.88
202407,2023-24,Average patients with influenza in ICU,4,HHS Region,378.29
202407,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1657.14
202407,2023-24,Influenza Hospital Admissions,5,HHS Region,2257
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,4.3
202407,2023-24,Average patients with influenza in ICU,5,HHS Region,233.57
202407,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,1088.57
202407,2023-24,Influenza Hospital Admissions,6,HHS Region,1677
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,3.93
202407,2023-24,Average patients with influenza in ICU,6,HHS Region,197.43
202407,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,388.57
202407,2023-24,Influenza Hospital Admissions,7,HHS Region,629
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,4.45
202407,2023-24,Average patients with influenza in ICU,7,HHS Region,56.29
202407,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,166
202407,2023-24,Influenza Hospital Admissions,8,HHS Region,277
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,2.26
202407,2023-24,Average patients with influenza in ICU,8,HHS Region,22.86
202407,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,450
202407,2023-24,Influenza Hospital Admissions,9,HHS Region,565
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.1
202407,2023-24,Average patients with influenza in ICU,9,HHS Region,66.43
202407,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,150.29
202407,2023-24,Influenza Hospital Admissions,10,HHS Region,198
202407,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.38
202407,2023-24,Average patients with influenza in ICU,10,HHS Region,21.43
202408,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,521.57
202408,2023-24,Influenza Hospital Admissions,1,HHS Region,770
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,5.19
202408,2023-24,Average patients with influenza in ICU,1,HHS Region,67.86
202408,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,881.86
202408,2023-24,Influenza Hospital Admissions,2,HHS Region,1127
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,2,HHS Region,3.57
202408,2023-24,Average patients with influenza in ICU,2,HHS Region,125.29
202408,2023-24,Influenza Hospitalization (Avg 7 Day),3,HHS Region,763.29
202408,2023-24,Influenza Hospital Admissions,3,HHS Region,1018
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,3,HHS Region,3.3
202408,2023-24,Average patients with influenza in ICU,3,HHS Region,117.29
202408,2023-24,Influenza Hospitalization (Avg 7 Day),4,HHS Region,1574.29
202408,2023-24,Influenza Hospital Admissions,4,HHS Region,1690
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,4,HHS Region,2.53
202408,2023-24,Average patients with influenza in ICU,4,HHS Region,355.29
202408,2023-24,Influenza Hospitalization (Avg 7 Day),5,HHS Region,1795.57
202408,2023-24,Influenza Hospital Admissions,5,HHS Region,2500
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,5,HHS Region,4.76
202408,2023-24,Average patients with influenza in ICU,5,HHS Region,237.14
202408,2023-24,Influenza Hospitalization (Avg 7 Day),6,HHS Region,955.43
202408,2023-24,Influenza Hospital Admissions,6,HHS Region,1375
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,6,HHS Region,3.22
202408,2023-24,Average patients with influenza in ICU,6,HHS Region,163
202408,2023-24,Influenza Hospitalization (Avg 7 Day),7,HHS Region,455.71
202408,2023-24,Influenza Hospital Admissions,7,HHS Region,774
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,7,HHS Region,5.47
202408,2023-24,Average patients with influenza in ICU,7,HHS Region,65
202408,2023-24,Influenza Hospitalization (Avg 7 Day),8,HHS Region,140.71
202408,2023-24,Influenza Hospital Admissions,8,HHS Region,250
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,8,HHS Region,2.04
202408,2023-24,Average patients with influenza in ICU,8,HHS Region,18.57
202408,2023-24,Influenza Hospitalization (Avg 7 Day),9,HHS Region,400.43
202408,2023-24,Influenza Hospital Admissions,9,HHS Region,540
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,9,HHS Region,1.05
202408,2023-24,Average patients with influenza in ICU,9,HHS Region,52
202408,2023-24,Influenza Hospitalization (Avg 7 Day),10,HHS Region,170.86
202408,2023-24,Influenza Hospital Admissions,10,HHS Region,276
202408,2023-24,Influenza Hospital Admissions Rate Per 100k,10,HHS Region,1.92
202408,2023-24,Average patients with influenza in ICU,10,HHS Region,29
202409,2023-24,Influenza Hospitalization (Avg 7 Day),1,HHS Region,587.43
202409,2023-24,Influenza Hospital Admissions,1,HHS Region,866
202409,2023-24,Influenza Hospital Admissions Rate Per 100k,1,HHS Region,5.83
202409,2023-24,Average patients with influenza in ICU,1,HHS Region,63.71
202409,2023-24,Influenza Hospitalization (Avg 7 Day),2,HHS Region,900.57
202409,2023-24,Influenza Hospital Admissions,2,HHS Region,1137
